embedding,type,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
E5,Norm.,0.5449726408757756,0.007697256879798858,0.590572762189514,0.007988440985967854,0.6058878385735333,0.007326193641651288,Test
Word2Vec,Norm.,0.5404219178740665,0.005093942556401926,0.600395624037338,0.004707444627123834,0.622050254383562,0.005102591256879163,Test
LaBSE,Norm.,0.5445960767672864,0.009881034601113756,0.6208261686223533,0.007907201400471537,0.6506404136093211,0.009237371558723369,Test
BETO,Norm.,0.4339069682410365,0.011270326466062191,0.46299932457916215,0.010630773317886021,0.47800064104401524,0.011960827238476548,Test
CANINE,Norm.,0.39847505794070615,0.008517622961658663,0.40290011346321475,0.00866275485775922,0.40628951549266856,0.009188387709101459,Test
E5,Lemm.,0.5335802997757428,0.007729004545729228,0.5817852386317867,0.008528029962663506,0.5968492213846689,0.007579477872204429,Test
Word2Vec,Lemm.,0.5324818667185964,0.005560962110360279,0.5857081856927604,0.0061502073073385075,0.6032828486546103,0.005442491018039541,Test
LaBSE,Lemm.,0.5432153499112359,0.008695054390787016,0.6106267032656701,0.005727678032890885,0.6381185279352068,0.006868089364521062,Test
BETO,Lemm.,0.44561301508472706,0.00970200830109429,0.4677382729970846,0.01046782034703866,0.4797267613910655,0.010904114662652956,Test
CANINE,Lemm.,0.4140414151076187,0.011146002160660516,0.41808992129677647,0.011699948140816097,0.42135374449786156,0.011470295593469593,Test
E5,Norm.,0.5990224345955892,0.003962395563539633,0.6346974909097887,0.003891994837782987,0.6464348727012766,0.0036551183400696527,Train
Word2Vec,Norm.,0.5871359744269495,0.0029883868184880096,0.6358351304096935,0.002125313169168332,0.6540374830576035,0.002387295995854739,Train
LaBSE,Norm.,0.597390491296981,0.0019102077438310772,0.6572150659155549,0.0030573454691180868,0.6825022307987554,0.002984647910006073,Train
BETO,Norm.,0.5004394086151438,0.0027818969203938955,0.5216153336267946,0.002225498373841762,0.5336116294060903,0.002286016584657548,Train
CANINE,Norm.,0.45537286574464275,0.0038341261644778517,0.4584484410471452,0.003746748002287707,0.4609669529942367,0.003388365148305852,Train
E5,Lemm.,0.5901488012527942,0.004038324802404083,0.6254786376854666,0.0036945946707564728,0.6386439716714396,0.0037281558232805925,Train
Word2Vec,Lemm.,0.5786153908675631,0.003032852030960772,0.6238231437409386,0.0027530249756246277,0.6386831710410734,0.0026160788109555817,Train
LaBSE,Lemm.,0.593600952054513,0.002849133985879598,0.6482315806498085,0.004314144410670983,0.6714003597310534,0.0038059922501358493,Train
BETO,Lemm.,0.5088815238771719,0.0026745313347883446,0.5256323912280896,0.002412196534195931,0.5350944718596681,0.0018680793622983091,Train
CANINE,Lemm.,0.46999751893061914,0.00336223878367653,0.47327708041277844,0.0034772638109397116,0.4758740560405406,0.0036020218682670416,Train